word,frequency
lived,1
housing,1
later.,1
normal,1
apartments.,1
bought,1
bedroom,1
kids,1
"us,",1
accumulated,1
middle-class,1
borrow,1
kinds,1
wealth,1
ball.,1
vast,1
ball.joe,1
(30:24)and,1
"bank,",1
"businessman,",1
fired,1
inspector,1
oversee,1
congress.,1
"'cah,",1
here?',1
'cdo,1
card?',1
'chave,1
borrowed,1
?',1
bailed,1
suckers,1
liable,1
lend,1
(30:59)i'm,1
sorry.,1
"(31:17)well,",1
changed,1
drastically.,1
"voted,",1
caucus,1
mayor,1
supported,1
board,1
itself,1
sentences,1
except,1
strikes,1
"against,",1
violence,1
part,1
assault,1
weapons,1
"build,",1
systems.,1
93,1
prisons.joe,1
(31:58)i,1
courts.,1
use.,1
rehab,1
housed.,1
decriminalize,1
"marijuana,",1
wipe,1
record,1
"honesty,",1
murder,1
anything?',1
reveal,1
marijuana.,1
system.,1
joined,1
group,1
punishment,1
along,1
marlon,1
"specter,",1
(32:53)right.,1
"(32:55)yes,",1
here's,1
locally.,1
"federally,",1
(33:42)so,1
sentencing,1
commission.,1
maximum,1
serve,1
years.',1
"lower,",1
"(34:15)yes,",1
jump,1
squads.,1
mid-'90s,1
till,1
precipitous.,1
occurring,1
'80s,1
'90s.,1
african,1
requirement.,1
"vehicle,",1
"cars,",1
introduce,1
liquor,1
owned,1
grocery,1
corner.,1
(35:02)so,1
nelly,1
smith,1
deals,1
below,1
"millie,",1
here.',1
revealed,1
"report,",1
"crime,",1
she'd,1
report.,1
eliminated,1
policing.,1
policing,1
armored,1
humvees,1
swarming.,1
'90s,1
"much,",1
mayors,1
"question,",1
'cwhere,1
money?',1
1%,1
problem.',1
22%.,1
(35:53)you,1
00:35:55].,1
(36:34)they,1
it.angelia,1
politarhos:,1
(36:35)that's,1
correct.joe,1
(36:36)and,1
intimidated,1
reporting.,1
transparency,1
available.,1
"level,",1
check,1
systematic,1
problems,1
departments.,1
"if,",1
cop,1
needs,1
"tried,",1
district,1
outside,1
"learned,",1
takes,1
choke,1
"holds,",1
beyond,1
circumstances.,1
de-escalate.,1
