Day,Close,volume
2016/11/23,3474.73,162388504
2016/11/24,3488.74,145746301
2016/11/25,3521.3,153621506
2016/11/28,3535.08,207375483
2016/11/29,3564.04,236918356
2016/11/30,3538,178560178
2016/12/1,3565.04,180170761
2016/12/2,3528.95,196355480
2016/12/5,3469.41,180852355
2016/12/6,3459.15,115529090
2016/12/7,3475.75,114345103
2016/12/8,3470.14,117383922
2016/12/9,3493.7,150303308
2016/12/12,3409.18,187467751
2016/12/13,3405.04,121105097
2016/12/14,3378.95,124007744
2016/12/15,3340.43,114960660
2016/12/16,3346.03,90775422
2016/12/19,3328.98,81640678
2016/12/20,3309.06,87569592
2016/12/21,3338.54,108254995
2016/12/22,3335.67,92277249
2016/12/23,3307.6,97444713
2016/12/26,3322.4,89793982
2016/12/27,3316.39,75486359
2016/12/28,3301.89,69000437
2016/12/29,3297.76,70087923
2016/12/30,3310.08,71744116
2017/1/3,3342.23,86567896
2017/1/4,3368.31,90050827
2017/1/5,3367.79,88336357
2017/1/6,3347.67,87459114
2017/1/9,3363.9,83707942
2017/1/10,3358.27,83819160
2017/1/11,3334.5,91071438
2017/1/12,3317.62,81239135
2017/1/13,3319.91,84180589
2017/1/16,3319.45,157779135
2017/1/17,3326.36,69453328
2017/1/18,3339.37,70623227
2017/1/19,3329.29,66159808
2017/1/20,3354.89,65300462
2017/1/23,3364.08,75557498
2017/1/24,3364.45,66194226
2017/1/25,3375.9,58376931
2017/1/26,3387.96,65316647
2017/2/3,3364.49,55188861
2017/2/6,3373.21,68521360
2017/2/7,3365.68,63754462
2017/2/8,3383.29,75402879
2017/2/9,3396.29,97558515
2017/2/10,3413.49,123768720
2017/2/13,3436.27,120144538
2017/2/14,3435.8,94809465
2017/2/15,3421.71,127643338
2017/2/16,3440.93,108276962
2017/2/17,3421.44,114600036
2017/2/20,3471.39,132628862
2017/2/21,3482.82,114842009
2017/2/22,3489.76,102815994
2017/2/23,3473.32,99536330
2017/2/24,3473.85,95535133
2017/2/27,3446.22,98672160
2017/2/28,3452.81,75215260
2017/3/1,3458.44,103260354
2017/3/2,3435.1,89898077
2017/3/3,3427.86,80994652
2017/3/6,3446.48,83070882
2017/3/7,3453.96,80334720
2017/3/8,3448.73,79587690
2017/3/9,3426.94,84570381
2017/3/10,3427.89,70016199
2017/3/13,3458.1,91684124
2017/3/14,3456.69,77077963
2017/3/15,3463.64,79104954
2017/3/16,3481.51,106333913
2017/3/17,3445.81,103755560
2017/3/20,3449.61,88734322
2017/3/21,3466.35,87707855
2017/3/22,3450.05,104935894
2017/3/23,3461.98,94318062
2017/3/24,3489.6,125645833
2017/3/27,3478.04,107015377
2017/3/28,3469.81,84194820
2017/3/29,3465.19,104851706
2017/3/30,3436.76,116376922
2017/3/31,3456.05,91577491
2017/4/5,3503.89,143399017
2017/4/6,3514.05,136767004
2017/4/7,3517.46,140293204
2017/4/10,3505.14,141887380
2017/4/11,3517.33,165945832
2017/4/12,3509.44,181824537
2017/4/13,3514.57,129981813
2017/4/14,3486.5,135474078
2017/4/17,3479.94,117164961
2017/4/18,3462.74,110927823
2017/4/19,3445.88,121349264
2017/4/20,3461.55,114184208
2017/4/21,3466.79,104419110
2017/4/24,3431.26,114660791
2017/4/25,3440.97,94072148
2017/4/26,3445.18,111940029
2017/4/27,3446.72,123298425
2017/4/28,3439.75,101632351
2017/5/2,3426.58,92797462
2017/5/3,3413.13,91669624
2017/5/4,3404.39,103482075
2017/5/5,3382.55,109895333
2017/5/8,3358.81,123749287
2017/5/9,3352.53,76771668
2017/5/10,3337.7,92082628
2017/5/11,3356.65,109252890
2017/5/12,3385.38,93386466
2017/5/15,3399.19,82977611
2017/5/16,3428.65,105242416
2017/5/17,3409.97,99736837
2017/5/18,3398.11,85759589
2017/5/19,3403.85,71473525
