,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
926,PEP,20170321,111.77,111.54,112.31,111.47,111.15,0.56,5587738,625601526.04,111.96
927,PEP,20170320,111.15,111.15,111.44,110.81,111.39,-0.22,3382089,376251685.52,111.25
928,PEP,20170317,111.39,111.48,111.52,110.93,111.14,0.22,6444383,717075518.55,111.27
929,PEP,20170316,111.14,111.09,111.2,110.53,111.11,0.03,4580676,508283260.65,110.96
930,PEP,20170315,111.11,109.56,111.23,109.5,109.34,1.62,4973395,549893862.3,110.57
931,PEP,20170314,109.34,109.28,109.73,109.12,109.41,-0.06,3630038,396895686.09,109.34
932,PEP,20170313,109.41,109.32,109.8,109.03,109.59,-0.16,3131237,342316848.8,109.32
933,PEP,20170310,109.59,109.58,109.71,109.28,109.02,0.52,3488905,382030910.81,109.5
934,PEP,20170309,109.02,109.56,109.61,108.91,109.3,-0.26,4066952,443931805.82,109.16
935,PEP,20170308,109.3,109.17,109.33,108.47,109.32,-0.02,5244492,571929736.32,109.05
936,PEP,20170307,109.32,109.16,109.77,109.0,109.63,-0.28,4361109,477524906.9,109.5
937,PEP,20170306,109.63,109.8,110.19,109.43,110.56,-0.84,4491047,492451881.45,109.65
938,PEP,20170303,110.56,110.1,110.67,109.65,110.11,0.41,4130942,455751546.37,110.33
939,PEP,20170302,110.11,109.81,110.32,109.43,109.73,0.35,3880791,426790378.3,109.98
940,PEP,20170301,109.73,109.6,110.32,109.17,110.38,-0.59,4750734,522298546.4,109.94
941,PEP,20170228,110.38,109.05,110.6,109.05,109.27,1.02,4684746,516581835.05,110.27
942,PEP,20170227,109.27,109.69,109.88,109.23,109.83,-0.51,3475121,380190052.81,109.4
943,PEP,20170224,109.83,109.5,109.92,109.33,109.54,0.26,3991764,437728896.63,109.66
944,PEP,20170223,109.54,109.12,110.0,109.12,109.41,0.12,3382733,370905882.53,109.65
945,PEP,20170222,109.41,109.37,109.78,109.17,109.36,0.05,3815267,417875130.24,109.53
946,PEP,20170221,109.36,108.07,109.5,107.95,108.15,1.12,5370660,585751086.61,109.07
947,PEP,20170217,108.15,107.29,108.3,107.21,108.12,0.03,5498434,593229343.32,107.89
948,PEP,20170216,108.12,107.15,108.18,106.32,106.73,1.3,5559902,598576324.97,107.66
949,PEP,20170215,106.73,105.35,107.25,104.77,106.92,-0.18,7617152,809181558.86,106.23
950,PEP,20170214,106.92,106.17,107.0,105.67,106.52,0.38,5665027,603255129.17,106.49
951,PEP,20170213,106.52,106.5,106.69,105.88,106.1,0.4,3464318,368790889.45,106.45
952,PEP,20170210,106.1,105.83,106.35,105.59,105.97,0.12,2475506,262783155.82,106.15
953,PEP,20170209,105.97,105.42,106.49,105.02,105.69,0.26,4012387,425317435.63,106.0
954,PEP,20170208,105.69,105.5,106.23,105.25,105.61,0.08,3407089,360784149.81,105.89
955,PEP,20170207,105.61,104.63,105.9,104.63,104.57,0.99,3980353,419460385.9,105.38
956,PEP,20170206,104.57,105.1,105.24,104.53,105.11,-0.51,4355238,456402375.45,104.79
957,PEP,20170203,105.11,104.44,105.77,104.06,104.03,1.04,4287149,450997356.93,105.2
958,PEP,20170202,104.03,103.76,104.39,103.29,103.01,0.99,3213734,334091430.93,103.96
959,PEP,20170201,103.01,103.61,103.78,102.98,103.78,-0.74,3515578,363208812.21,103.31
960,PEP,20170131,103.78,103.21,104.17,103.21,103.69,0.09,3846647,399639312.11,103.89
961,PEP,20170130,103.69,103.01,103.72,103.0,103.48,0.2,3462554,358364990.1,103.5
962,PEP,20170127,103.48,104.38,104.41,103.43,104.14,-0.63,4248231,440565812.1,103.71
963,PEP,20170126,104.14,104.51,104.73,104.07,104.61,-0.45,3634560,379010099.52,104.28
964,PEP,20170125,104.61,104.71,105.19,104.54,104.71,-0.1,3566079,373691593.72,104.79
965,PEP,20170124,104.71,104.0,104.93,103.78,104.01,0.67,4992266,521428704.58,104.45
966,PEP,20170123,104.01,102.9,104.22,102.83,103.24,0.75,4584801,475312279.91,103.67
967,PEP,20170120,103.24,102.79,103.32,102.44,102.36,0.86,4750774,489327346.61,103.0
968,PEP,20170119,102.36,102.28,103.0,102.17,102.74,-0.37,3923119,401948257.2,102.46
969,PEP,20170118,102.74,102.4,103.0,102.32,102.19,0.54,4340387,445824196.22,102.72
970,PEP,20170117,102.19,101.07,102.32,101.06,101.55,0.63,3745757,382147747.78,102.02
971,PEP,20170113,101.55,101.88,102.11,101.22,101.84,-0.28,3478642,353017842.91,101.48
972,PEP,20170112,101.84,101.71,102.52,101.58,101.81,0.03,3126043,318488794.6,101.88
973,PEP,20170111,101.81,101.84,102.36,101.41,101.97,-0.16,4650289,473435227.43,101.81
974,PEP,20170110,101.97,103.32,103.32,101.75,103.46,-1.44,5399234,551447525.05,102.13
