,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
1130,PM,20160531,98.68,99.32,99.6,98.17,99.18,-0.5,5706387,562644656.69,98.6
1131,PM,20160527,99.18,99.1,99.35,98.71,99.01,0.17,2059805,204180246.91,99.13
1132,PM,20160526,99.01,99.05,99.16,98.46,99.05,-0.04,2350547,232529053.7,98.93
1133,PM,20160525,99.05,98.67,99.5,98.65,98.84,0.21,2543136,252134147.71,99.14
1134,PM,20160524,98.84,98.71,99.37,98.59,98.28,0.57,3074422,304254955.94,98.96
1135,PM,20160523,98.28,98.06,98.42,97.73,98.04,0.24,2365439,232085061.68,98.12
1136,PM,20160520,98.04,98.67,98.69,97.83,98.36,-0.33,3369452,330811796.63,98.18
1137,PM,20160519,98.36,98.54,98.6,97.2,98.95,-0.6,3466857,339322438.95,97.88
1138,PM,20160518,98.95,99.8,99.91,98.42,99.84,-0.89,3408464,337536444.02,99.03
1139,PM,20160517,99.84,101.18,101.48,99.18,101.71,-1.84,4346645,434481514.94,99.96
1140,PM,20160516,101.71,100.84,101.94,100.31,100.89,0.81,3001057,304372932.96,101.42
1141,PM,20160513,100.89,101.73,102.39,100.68,102.18,-1.26,3066696,310536734.32,101.26
1142,PM,20160512,102.18,101.91,102.55,101.61,101.8,0.37,4916078,502289945.89,102.17
1143,PM,20160511,101.8,101.88,102.38,101.66,101.89,-0.09,3380013,344314860.08,101.87
1144,PM,20160510,101.89,100.5,101.93,100.4,100.39,1.49,3117910,316511235.13,101.51
1145,PM,20160509,100.39,100.35,100.65,100.02,100.32,0.07,4491692,450483514.0,100.29
1146,PM,20160506,100.32,99.23,100.4,99.2,99.18,1.15,4065410,406590232.12,100.01
1147,PM,20160505,99.18,99.31,99.99,98.74,98.78,0.4,5751410,571399725.05,99.35
1148,PM,20160504,98.78,97.92,98.94,97.51,98.52,0.26,3159409,311568271.63,98.62
1149,PM,20160503,98.52,98.48,98.85,97.97,98.56,-0.04,2673013,263071002.99,98.42
1150,PM,20160502,98.56,98.42,98.88,97.89,98.12,0.45,2899567,285432810.06,98.44
1151,PM,20160429,98.12,97.42,98.58,97.41,97.35,0.79,4268317,418575059.06,98.07
1152,PM,20160428,97.35,96.61,97.94,96.5,97.27,0.08,3207704,312550023.37,97.44
1153,PM,20160427,97.27,97.37,98.23,96.41,97.24,0.03,3708465,361213751.04,97.4
1154,PM,20160426,97.24,97.93,98.09,96.93,97.53,-0.3,3714553,361794096.81,97.4
1155,PM,20160425,97.53,96.59,97.54,96.21,96.92,0.63,3251067,315626936.49,97.08
1156,PM,20160422,96.92,96.6,96.97,96.13,96.42,0.52,3660613,353627306.8,96.6
1157,PM,20160421,96.42,97.82,98.04,95.91,98.13,-1.74,5090813,491490514.94,96.54
1158,PM,20160420,98.13,98.89,99.23,98.0,99.28,-1.16,4209555,414376403.33,98.44
1159,PM,20160419,99.28,98.65,99.73,97.08,100.6,-1.31,7394414,731575251.96,98.94
1160,PM,20160418,100.6,99.83,101.39,99.78,100.11,0.49,5078453,512475884.23,100.91
1161,PM,20160415,100.11,99.87,100.48,99.18,99.76,0.35,6298121,629582804.31,99.96
1162,PM,20160414,99.76,100.4,101.48,99.56,100.33,-0.57,4302438,430976548.22,100.17
1163,PM,20160413,100.33,101.89,102.0,99.37,101.63,-1.28,5404203,542362030.14,100.36
1164,PM,20160412,101.63,100.47,101.82,100.41,100.33,1.3,4464094,452663640.33,101.4
1165,PM,20160411,100.33,101.28,101.8,100.09,100.88,-0.55,4943656,497979461.97,100.73
1166,PM,20160408,100.88,100.81,100.95,100.44,100.58,0.3,3710246,373769811.02,100.74
1167,PM,20160407,100.58,101.09,101.15,100.19,101.17,-0.58,3681020,370138008.97,100.55
1168,PM,20160406,101.17,100.33,101.31,100.21,100.26,0.91,4763344,480139359.19,100.8
1169,PM,20160405,100.26,100.0,100.41,99.88,100.36,-0.1,3524288,353012774.52,100.17
1170,PM,20160404,100.36,99.96,100.48,99.47,99.75,0.61,4198172,420368839.8,100.13
1171,PM,20160401,99.75,97.77,99.83,97.55,98.11,1.67,4184555,415142579.44,99.21
1172,PM,20160331,98.11,98.53,99.01,98.01,98.69,-0.59,4380320,431138694.8,98.43
1173,PM,20160330,98.69,99.03,99.53,98.64,98.86,-0.17,3405290,337098510.85,98.99
1174,PM,20160329,98.86,98.02,98.89,97.37,97.86,1.02,5005274,491894803.93,98.28
1175,PM,20160328,97.86,97.86,98.21,97.42,97.57,0.3,3206789,313900049.49,97.89
1176,PM,20160324,97.57,97.04,97.6,96.66,97.07,0.52,3674843,357662554.46,97.33
1177,PM,20160323,97.07,96.74,97.29,96.28,96.74,0.34,3028896,293851395.54,97.02
1178,PM,20160322,96.74,97.34,97.69,96.43,98.59,-1.88,3655150,353594101.1,96.74
1179,PM,20160321,98.59,98.08,98.82,97.76,98.17,0.43,3784276,372761002.41,98.5
1180,PM,20160318,98.17,99.03,99.24,97.92,98.9,-0.74,9472680,932514348.26,98.44
1181,PM,20160317,98.9,97.29,99.33,97.29,97.18,1.77,7378211,727882649.78,98.65
1182,PM,20160316,97.18,96.41,97.36,95.65,96.44,0.77,3936856,380555019.93,96.66
1183,PM,20160315,96.44,95.91,96.7,95.8,96.44,0.0,5039727,485334262.52,96.3
1184,PM,20160314,96.44,96.58,97.13,96.0,96.49,-0.05,4625250,446500858.38,96.54
1185,PM,20160311,96.49,96.99,97.15,96.05,96.84,-0.36,7202805,695035403.16,96.5
1186,PM,20160310,96.84,95.99,96.88,95.75,96.01,0.86,5428656,523294741.4,96.39
1187,PM,20160309,96.01,94.87,96.07,94.66,94.45,1.65,6544285,624871871.59,95.48
1188,PM,20160308,94.45,94.07,94.79,93.76,93.9,0.59,5455184,515258510.72,94.45
1189,PM,20160307,93.9,94.02,94.19,93.1,94.49,-0.62,4888809,457727424.2,93.63
1190,PM,20160304,94.49,93.29,94.91,93.25,93.26,1.32,5729293,540667674.03,94.37
1191,PM,20160303,93.26,91.54,93.29,91.31,91.56,1.86,4144086,383656141.75,92.58
1192,PM,20160302,91.56,91.29,91.89,90.79,91.54,0.02,3258533,298077906.85,91.48
1193,PM,20160301,91.54,91.6,91.73,91.02,91.03,0.56,4489805,410193043.18,91.36
1194,PM,20160229,91.03,91.0,91.77,90.48,91.45,-0.46,4697680,427976527.37,91.1
1195,PM,20160226,91.45,92.54,92.87,91.11,92.45,-1.08,4025108,369370483.84,91.77
1196,PM,20160225,92.45,91.53,92.48,91.36,91.46,1.08,3146381,289724098.74,92.08
1197,PM,20160224,91.46,91.85,91.91,90.7,92.05,-0.64,4534094,413614590.99,91.22
1198,PM,20160223,92.05,92.42,92.79,91.79,92.54,-0.53,3589971,331109476.51,92.23
1199,PM,20160222,92.54,92.34,92.85,92.02,91.94,0.65,3796812,351066879.47,92.46
1200,PM,20160219,91.94,91.58,92.19,90.78,91.65,0.32,4121465,378295663.27,91.79
1201,PM,20160218,91.65,91.14,91.82,91.07,91.23,0.46,5886168,538615003.62,91.51
1202,PM,20160217,91.23,90.06,92.19,89.76,90.12,1.23,6288602,573337497.79,91.17
1203,PM,20160216,90.12,89.5,90.34,88.6,89.06,1.19,4482856,402635794.23,89.82
1204,PM,20160212,89.06,89.03,89.5,88.25,88.34,0.82,4930418,437627865.74,88.76
1205,PM,20160211,88.34,88.15,88.75,87.5,89.23,-1.0,4181219,368625854.58,88.16
1206,PM,20160210,89.23,90.25,90.39,89.04,90.02,-0.88,3730552,334456320.0,89.65
1207,PM,20160209,90.02,89.29,90.56,88.93,89.72,0.33,5114180,460381004.89,90.02
1208,PM,20160208,89.72,89.28,90.29,88.65,89.55,0.19,5298492,475007677.81,89.65
1209,PM,20160205,89.55,89.19,89.61,87.42,89.1,0.51,4557231,405267707.87,88.93
1210,PM,20160204,89.1,87.68,90.35,87.68,89.79,-0.77,6019856,535804483.03,89.01
1211,PM,20160203,89.79,89.84,90.28,88.48,89.35,0.49,6022996,539564718.12,89.58
1212,PM,20160202,89.35,88.51,89.45,88.3,89.41,-0.07,5322953,473084921.3,88.88
1213,PM,20160201,89.41,89.79,90.31,89.33,90.01,-0.67,5985598,536630378.92,89.65
1214,PM,20160129,90.01,88.86,90.24,88.33,89.06,1.07,8383113,751283680.63,89.62
1215,PM,20160128,89.06,88.79,89.72,87.61,88.09,1.1,3856915,343000839.06,88.93
1216,PM,20160127,88.09,87.65,89.38,87.21,87.31,0.89,4882887,431375756.46,88.34
1217,PM,20160126,87.31,86.76,88.32,86.76,86.68,0.73,4543961,397423458.04,87.46
