Day,Year,Month,Day_num,Last_day_value,Today_value
2015/8/12,2015,8,42228,-436.39408826583366,-451.5657874
2015/8/13,2015,8,42229,-436.123445066667,-451.4368642
2015/8/14,2015,8,42230,-435.8389449600003,-450.9403256
2015/8/17,2015,8,42233,-435.59690576666696,-454.5045886
2015/8/18,2015,8,42234,-435.42658319000026,-460.21032479999997
2015/8/19,2015,8,42235,-435.2868564400003,-459.44031449999994
2015/8/20,2015,8,42236,-435.19993653416697,-466.16009339999994
2015/8/21,2015,8,42237,-435.14910181416695,-475.35232410000003
2015/8/24,2015,8,42240,-435.25298964083356,-492.54426320000005
2015/8/25,2015,8,42241,-435.2887465483336,-486.0968795
2015/8/26,2015,8,42242,-435.2473959825003,-478.7578919
2015/8/27,2015,8,42243,-435.1618007450003,-465.3906584
2015/8/28,2015,8,42244,-435.0787598633336,-469.4408958000001
2015/8/31,2015,8,42247,-435.0077446475003,-466.83322869999995
2015/9/1,2015,9,42248,-434.9538894133336,-467.9641739
2015/9/2,2015,9,42249,-434.87486249833364,-467.7317323
2015/9/7,2015,9,42254,-434.88178256000026,-473.90651160000004
2015/9/8,2015,9,42255,-434.90923139833365,-473.0800016
2015/9/9,2015,9,42256,-434.93776337166696,-470.38712019999997
2015/9/10,2015,9,42257,-434.918819939167,-468.9520488
2015/9/11,2015,9,42258,-434.88627310500027,-469.34265260000006
2015/9/14,2015,9,42261,-434.7945749500003,-460.20058560000007
2015/9/15,2015,9,42262,-434.71467763083365,-460.85937350000006
2015/9/16,2015,9,42263,-434.58724936333357,-457.91970639999994
2015/9/17,2015,9,42264,-434.5674069516669,-464.6142822
2015/9/18,2015,9,42265,-434.5021671866669,-463.23760350000003
2015/9/21,2015,9,42268,-434.45655223166693,-463.2535827
2015/9/22,2015,9,42269,-434.40256384000025,-463.2280091
2015/9/23,2015,9,42270,-434.38466838083355,-467.91973039999993
2015/9/24,2015,9,42271,-434.3649618150002,-468.52742939999996
2015/9/25,2015,9,42272,-434.3690607975002,-469.1620548
2015/9/28,2015,9,42275,-434.41859518916687,-471.2017034
2015/9/29,2015,9,42276,-434.51224040083355,-472.4138074
2015/9/30,2015,9,42277,-434.5637504608336,-472.20970989999995
2015/10/8,2015,10,42285,-434.55706763750027,-464.7622973
2015/10/9,2015,10,42286,-434.5851196383336,-465.1724558
2015/10/12,2015,10,42289,-434.61949611250026,-463.6541347
2015/10/13,2015,10,42290,-434.6432566825003,-463.02246449999996
2015/10/14,2015,10,42291,-434.85181325666696,-464.04480419999993
2015/10/15,2015,10,42292,-435.091921104167,-461.75402379999997
2015/10/16,2015,10,42293,-435.335315796667,-461.0399075
2015/10/19,2015,10,42296,-435.763149221667,-459.2072768
2015/10/20,2015,10,42297,-436.25029799750035,-459.888053
2015/10/21,2015,10,42298,-436.6879617225003,-461.8611978
2015/10/22,2015,10,42299,-437.1243858625003,-459.55706200000003
2015/10/23,2015,10,42300,-437.4681819008336,-450.9916569
2015/10/26,2015,10,42303,-437.69484875750027,-444.4010131
2015/10/27,2015,10,42304,-437.9565700108336,-446.7981738
2015/10/28,2015,10,42305,-438.26838588000027,-449.6088444
2015/10/29,2015,10,42306,-438.59241131750025,-448.8784261
2015/10/30,2015,10,42307,-438.7904958625002,-448.014059
2015/11/2,2015,11,42310,-439.06515295500026,-455.72310360000006
2015/11/3,2015,11,42311,-439.37855845000024,-458.4047246
2015/11/4,2015,11,42312,-439.72246731583357,-452.71322130000004
2015/11/5,2015,11,42313,-440.08202788083355,-451.13444869999995
2015/11/6,2015,11,42314,-440.3999649983336,-449.224712
2015/11/9,2015,11,42317,-440.71409367250027,-446.7159636
2015/11/10,2015,11,42318,-440.9740759675003,-445.3141824
2015/11/11,2015,11,42319,-441.1997768833336,-447.56775419999997
2015/11/12,2015,11,42320,-441.3961438783336,-447.6987759
2015/11/13,2015,11,42321,-441.71037418000026,-452.80059919999997
2015/11/16,2015,11,42324,-442.06784211333354,-454.06861510000005
2015/11/17,2015,11,42325,-442.4634382233336,-453.46721389999993
2015/11/18,2015,11,42326,-443.00135798500025,-453.2534159
2015/11/19,2015,11,42327,-443.6289013241669,-452.77968219999997
2015/11/20,2015,11,42328,-444.2598807783336,-454.1044674
2015/11/23,2015,11,42331,-444.828489689167,-455.2084341
2015/11/24,2015,11,42332,-445.2644023358336,-455.9636658
2015/11/25,2015,11,42333,-445.7100482800003,-454.55841110000006
2015/11/26,2015,11,42334,-446.2276945858336,-454.8767617
2015/11/27,2015,11,42335,-446.75398919166696,-460.4238687
2015/11/30,2015,11,42338,-447.19484618666695,-453.8787274
2015/12/1,2015,12,42339,-447.59641515750025,-454.217773
2015/12/2,2015,12,42340,-447.89918492750024,-446.2890456
2015/12/3,2015,12,42341,-448.3038548691669,-447.5962415
2015/12/4,2015,12,42342,-448.7018869200002,-452.4560927
2015/12/7,2015,12,42345,-449.1120028950002,-453.23506380000003
2015/12/8,2015,12,42346,-449.53788070916687,-456.1188823
2015/12/9,2015,12,42347,-449.99747349833353,-453.6774
2015/12/10,2015,12,42348,-450.42910080833354,-455.23619929999995
2015/12/11,2015,12,42349,-450.8111701983335,-456.79261579999996
2015/12/14,2015,12,42352,-451.1816156075002,-453.99053389999995
2015/12/15,2015,12,42353,-451.43847406666686,-453.5495048
2015/12/16,2015,12,42354,-451.62289322666686,-454.1505016
2015/12/17,2015,12,42355,-451.9352245200002,-452.0281971
2015/12/18,2015,12,42356,-452.31818696166687,-450.8953205
2015/12/21,2015,12,42359,-452.53429049666687,-440.247198
2015/12/22,2015,12,42360,-452.6826510200002,-442.2958433
2015/12/23,2015,12,42361,-452.8857069866669,-444.4351366
2015/12/24,2015,12,42362,-453.1701413383335,-442.78054649999996
2015/12/25,2015,12,42363,-453.4508148733335,-443.17601349999995
2015/12/28,2015,12,42366,-453.79144730916687,-448.68780139999996
2015/12/29,2015,12,42367,-454.0318984858335,-447.8342736000001
2015/12/30,2015,12,42368,-454.31600330250023,-448.7460834
2015/12/31,2015,12,42369,-454.5199037525002,-449.3202765
2016/1/4,2016,1,42373,-454.7308975466669,-458.1953772
2016/1/5,2016,1,42374,-455.09772943750016,-455.14991910000003
2016/1/6,2016,1,42375,-455.5394262591669,-455.5811433999999
2016/1/7,2016,1,42376,-456.00900167583353,-466.1016182
2016/1/8,2016,1,42377,-456.3813995325002,-463.45858039999996
2016/1/11,2016,1,42380,-456.8090654633335,-468.5816161
2016/1/12,2016,1,42381,-457.26851765166685,-471.62835
2016/1/13,2016,1,42382,-457.51969934583354,-468.97447939999995
2016/1/14,2016,1,42383,-457.7010392283335,-463.79115419999994
2016/1/15,2016,1,42384,-457.90725410833346,-469.8747113
2016/1/18,2016,1,42387,-458.0718760858335,-469.3762006
2016/1/19,2016,1,42388,-458.1664671541668,-458.35415610000007
2016/1/20,2016,1,42389,-458.3222761733335,-466.4338185
2016/1/21,2016,1,42390,-458.34391679916683,-468.70074589999996
2016/1/22,2016,1,42391,-458.3829292666669,-466.1957075
2016/1/25,2016,1,42394,-458.4387112000002,-465.9695087
2016/1/26,2016,1,42395,-458.56287310083354,-470.0204168000001
2016/1/27,2016,1,42396,-458.6875761275002,-469.22083430000004
2016/1/28,2016,1,42397,-458.8658743283335,-472.6952363
2016/1/29,2016,1,42398,-459.03149997000025,-468.4089409
2016/2/1,2016,2,42401,-459.1489880358336,-467.721088
2016/2/2,2016,2,42402,-459.21768029333356,-464.3296622
2016/2/3,2016,2,42403,-459.31150020250027,-465.22521270000004
2016/2/4,2016,2,42404,-459.44093654583355,-463.8785549
2016/2/5,2016,2,42405,-459.5672536208336,-465.12399819999996
2016/2/15,2016,2,42415,-459.7096081508335,-468.648331
2016/2/16,2016,2,42416,-459.8217459266669,-464.8933973
2016/2/17,2016,2,42417,-459.95117794666686,-466.47216799999995
2016/2/18,2016,2,42418,-460.0566759083335,-467.164344
2016/2/19,2016,2,42419,-460.1030598133336,-465.77639339999996
2016/2/22,2016,2,42422,-460.1157453675002,-460.96258099999994
2016/2/23,2016,2,42423,-460.0331907408335,-456.25353820000004
2016/2/24,2016,2,42424,-459.82905077750013,-450.8555285
2016/2/25,2016,2,42425,-459.53016883416683,-456.67843
2016/2/26,2016,2,42426,-459.2467403933335,-452.0854666
2016/2/29,2016,2,42429,-459.04229063583347,-454.223921
