Day,Year,Month,Day_num,Last_day_value,Today_value
2015/9/29,2015,9,42276,7.378296011249997,11.44383894
2015/9/30,2015,9,42277,7.463539174883331,10.95167597
2015/10/1,2015,10,42278,7.451081329316664,5.377605354
2015/10/2,2015,10,42279,7.430062729733331,5.236829776
2015/10/5,2015,10,42282,7.405342487083331,4.536104345
2015/10/6,2015,10,42283,7.381522582083331,3.9552378339999996
2015/10/7,2015,10,42284,7.348633948066664,3.3010338839999998
2015/10/8,2015,10,42285,7.30684171093333,3.103166936
2015/10/9,2015,10,42286,7.26556037233333,2.834333881
2015/10/12,2015,10,42289,7.227071969983331,3.0289323639999997
2015/10/13,2015,10,42290,7.203978864216665,3.621640816
2015/10/14,2015,10,42291,7.159920117016665,2.493357338
2015/10/15,2015,10,42292,7.106245117399998,1.939913055
2015/10/16,2015,10,42293,7.040185076383332,1.2146648290000002
2015/10/19,2015,10,42296,6.9670681971666655,1.00982714
2015/10/20,2015,10,42297,6.8885769312999985,0.8418382459999999
2015/10/21,2015,10,42298,6.810684005033332,0.824849919
2015/10/22,2015,10,42299,6.711247642866666,-0.626382575
2015/10/23,2015,10,42300,6.620914144949999,-0.25092238
2015/10/26,2015,10,42303,6.531294460649999,-0.284088192
2015/10/27,2015,10,42304,6.441168220499999,-0.581980013
2015/10/28,2015,10,42305,6.356186180833332,-0.52247312
2015/10/29,2015,10,42306,6.279316205766666,-0.48363026200000003
2015/10/30,2015,10,42307,6.207396336766666,-0.257374428
2015/11/2,2015,11,42310,6.141571712633333,-0.141083722
2015/11/3,2015,11,42311,6.0798115158999995,0.210230595
2015/11/4,2015,11,42312,6.016222149516666,0.447131413
2015/11/5,2015,11,42313,5.946447459233331,0.376737484
2015/11/6,2015,11,42314,5.889275349816665,0.877539405
2015/11/9,2015,11,42317,5.842369311699998,1.303289989
2015/11/10,2015,11,42318,5.802396281483332,1.314756535
2015/11/11,2015,11,42319,5.760561362966666,0.764486579
2015/11/12,2015,11,42320,5.721281490149999,1.1905634840000001
2015/11/13,2015,11,42321,5.675215079983332,1.26193142
2015/11/16,2015,11,42324,5.610777917783332,0.7602854590000001
2015/11/17,2015,11,42325,5.531687554366665,1.559259734
2015/11/18,2015,11,42326,5.428088371299998,0.9798774840000001
2015/11/19,2015,11,42327,5.332656177233331,0.42754067100000004
2015/11/20,2015,11,42328,5.250408003733331,0.843554482
2015/11/23,2015,11,42331,5.16508823148333,0.40802037
2015/11/24,2015,11,42332,5.074760803899997,0.349681195
2015/11/25,2015,11,42333,4.876661034483331,0.450225475
2015/11/27,2015,11,42335,4.676835736766664,0.323258427
2015/11/30,2015,11,42338,4.483117372299998,0.48733103200000005
2015/12/1,2015,12,42339,4.2925066046833305,1.153550243
2015/12/2,2015,12,42340,4.11563709118333,1.76147351
2015/12/3,2015,12,42341,3.9361744236166634,2.1532390759999998
2015/12/4,2015,12,42342,3.7472479027166634,1.2477289059999999
2015/12/7,2015,12,42345,3.5657946827833293,1.631623054
2015/12/8,2015,12,42346,3.383792902933329,1.7086058990000002
2015/12/9,2015,12,42347,3.2167324455499955,2.172104717
2015/12/10,2015,12,42348,3.061238604983329,2.335875926
2015/12/11,2015,12,42349,2.9195410533833286,2.9294131739999996
2015/12/14,2015,12,42352,2.779158899083329,3.026176192
2015/12/15,2015,12,42353,2.627840215783329,2.1191813219999998
2015/12/16,2015,12,42354,2.4523557711499957,1.333926262
2015/12/17,2015,12,42355,2.2798690147166623,1.536601654
2015/12/18,2015,12,42356,2.1284462348166624,2.7265527260000004
2015/12/21,2015,12,42359,1.9821167237666624,2.496997437
2015/12/22,2015,12,42360,1.8214322472499955,2.050267569
2015/12/23,2015,12,42361,1.658901085483329,1.691969234
2015/12/24,2015,12,42362,1.5049704440666622,1.715837485
2015/12/28,2015,12,42366,1.442940481533329,1.6558076019999999
2015/12/29,2015,12,42367,1.3796156480166626,1.437339765
2015/12/30,2015,12,42368,1.3308848668666624,1.612257476
2015/12/31,2015,12,42369,1.3020940587833292,2.227789349
2016/1/4,2016,1,42373,1.2747269150499958,1.65900526
2016/1/5,2016,1,42374,1.2498487612833291,1.61047771
2016/1/6,2016,1,42375,1.2318520702999958,1.7545324219999998
2016/1/7,2016,1,42376,1.2324238359999957,3.063238306
2016/1/8,2016,1,42377,1.2206658553333292,2.916161976
2016/1/11,2016,1,42380,1.2283441363999958,2.954054202
2016/1/12,2016,1,42381,1.2394137459166623,2.604089626
2016/1/13,2016,1,42382,1.2661594208999958,2.819405328
2016/1/14,2016,1,42383,1.3052483781166624,3.355164573
2016/1/15,2016,1,42384,1.3584369156666625,4.0331504989999996
2016/1/19,2016,1,42388,1.3994502095166623,3.28564755
2016/1/20,2016,1,42389,1.475799992433329,3.9546044
2016/1/21,2016,1,42390,1.544585356133329,3.876199442
2016/1/22,2016,1,42391,1.6036720663666624,3.261114422
2016/1/25,2016,1,42394,1.6687751026833293,3.324202166
2016/1/26,2016,1,42395,1.7334299644666626,3.356818587
2016/1/27,2016,1,42396,1.8000561151833294,3.5139387810000002
2016/1/28,2016,1,42397,1.8510120826166627,2.799983618
2016/1/29,2016,1,42398,1.8928302910833295,2.368008786
2016/2/1,2016,2,42401,1.9695338734499963,4.812445536999999
2016/2/2,2016,2,42402,2.048265728216663,5.171042699
2016/2/3,2016,2,42403,2.1217240880333295,4.784239073
2016/2/4,2016,2,42404,2.1978497603499965,5.445079744
2016/2/5,2016,2,42405,2.270015521116663,5.633235635
2016/2/8,2016,2,42408,2.3401092407166635,5.520379711
2016/2/9,2016,2,42409,2.4072295050166637,4.791702437
2016/2/10,2016,2,42410,2.474841462499997,5.247280933
2016/2/11,2016,2,42411,2.544655162966664,5.4507534479999995
2016/2/12,2016,2,42412,2.611320573566664,4.760210095
2016/2/16,2016,2,42416,2.6621072415833305,4.606459815
2016/2/17,2016,2,42417,2.7161782558833303,4.224138342
2016/2/18,2016,2,42418,2.7715858866166636,3.751998515
2016/2/19,2016,2,42419,2.8212894488333307,3.825768215
2016/2/22,2016,2,42422,2.878712770449997,3.853419667
2016/2/23,2016,2,42423,2.9432771063333307,4.223541348
2016/2/24,2016,2,42424,3.0060735693333305,4.218013255
2016/2/25,2016,2,42425,3.065977271249997,3.917480542
2016/2/26,2016,2,42426,3.1391753108999967,4.879213411
2016/2/29,2016,2,42429,3.20428175458333,5.059936864
2016/3/1,2016,3,42430,3.25816160293333,4.9942644110000005
2016/3/2,2016,3,42431,3.3108204368999963,5.312769114
2016/3/3,2016,3,42432,3.37147909398333,4.887248331
2016/3/4,2016,3,42433,3.421300976166663,4.620935985
2016/3/7,2016,3,42436,3.479274138166663,5.186995619
2016/3/8,2016,3,42437,3.5249418373666628,4.912166668999999
2016/3/9,2016,3,42438,3.560516032066663,4.470327608
2016/3/10,2016,3,42439,3.57917066703333,4.048691272
2016/3/11,2016,3,42440,3.5912804946499963,3.7527658489999998
2016/3/14,2016,3,42443,3.623285950699996,4.039508685
2016/3/15,2016,3,42444,3.6673525499999964,3.97792222
2016/3/16,2016,3,42445,3.7109723445666627,4.153789328
2016/3/17,2016,3,42446,3.722876374833329,3.440794542
2016/3/18,2016,3,42447,3.7423062421166624,3.6627894739999998
2016/3/21,2016,3,42450,3.770448285483329,3.738790171
2016/3/22,2016,3,42451,3.8103800349333294,4.087874201
2016/3/23,2016,3,42452,3.848502626833329,4.0031929989999995
2016/3/24,2016,3,42453,3.889867462883329,4.137697765
2016/3/28,2016,3,42457,3.931873133549996,3.957680005
2016/3/29,2016,3,42458,3.9648167517499955,3.588874568
2016/3/30,2016,3,42459,3.9796561161999957,3.1181512160000002
2016/3/31,2016,3,42460,4.005150166799996,3.188648296
2016/4/1,2016,4,42461,4.026375429166662,2.883993452
2016/4/4,2016,4,42464,4.044564216566662,2.8458596660000004
2016/4/5,2016,4,42465,4.046390510383329,3.172815935
2016/4/6,2016,4,42466,4.045458008483329,2.860211862
2016/4/7,2016,4,42467,4.044814051766662,2.915416799
2016/4/8,2016,4,42468,4.036126459849996,2.082834111
2016/4/11,2016,4,42471,4.029145896266662,2.400571513
2016/4/12,2016,4,42472,4.012389984783329,2.349809884
2016/4/13,2016,4,42473,3.993882564849996,2.9227053030000003
2016/4/14,2016,4,42474,3.994510215049996,3.323306562
2016/4/15,2016,4,42475,3.9792580897333294,3.039476881
2016/4/18,2016,4,42478,3.968094826249996,3.2064036330000003
2016/4/19,2016,4,42479,3.96098603843333,2.834587153
2016/4/20,2016,4,42480,3.9739576238999965,4.102497294
2016/4/21,2016,4,42481,3.99749965388333,4.7693403860000005
2016/4/22,2016,4,42482,4.00799818618333,4.143850719
2016/4/25,2016,4,42485,4.026258924933329,3.895627943
2016/4/26,2016,4,42486,4.052308137849996,3.930961561
2016/4/27,2016,4,42487,4.037322978249997,3.913335961
2016/4/28,2016,4,42488,4.012299979699997,3.6696627860000004
2016/4/29,2016,4,42489,3.9865780918166633,3.2409258
2016/5/2,2016,5,42492,3.8640348497999972,-1.9075147769999998
2016/5/3,2016,5,42493,3.736164241416664,-2.039000868
2016/5/4,2016,5,42494,3.6070479070166637,-2.2266003530000003
2016/5/5,2016,5,42495,3.4881791850166635,-2.340420883
