,Predictions,GDP_per_day
242,351700220000.0,351924082418.9061
243,354873150000.0,351515772194.2778
244,357485500000.0,353497012818.3039
245,354778050000.0,367596474023.4177
246,356963900000.0,373983530484.6652
247,362189420000.0,353823037688.68787
248,366032900000.0,371547013021.5496
249,365792530000.0,364821134660.4539
250,362007600000.0,374928373226.5851
251,367800600000.0,378503327789.8572
252,368411280000.0,371261495791.9549
253,372044230000.0,371762237645.0164
254,371028560000.0,362198859769.1362
255,367155680000.0,370107038881.0113
256,366650700000.0,355789707781.56305
257,362604300000.0,375970363575.8597
258,363856170000.0,367888968119.7815
259,363209460000.0,378930504362.1637
260,370523370000.0,358795005230.8541
261,367249520000.0,362331266045.9264
262,366889830000.0,352504715945.8595
263,358646020000.0,353109116218.63995
264,357787300000.0,340572390962.2268
265,352980570000.0,340534710967.6233
266,349642300000.0,330867635530.607
267,343345000000.0,316519644019.8649
268,338930860000.0,321033882240.5269
269,332817300000.0,322076250336.6926
270,329189060000.0,317561187564.5264
271,330323230000.0,333140799320.79755
272,332093650000.0,329067703091.48065
273,333939700000.0,327868777130.2028
274,338106100000.0,329860006907.0083
275,336789180000.0,336102435618.64185
276,338022200000.0,325941591031.1664
277,338907000000.0,400769616436.5177
278,348502100000.0,396252961386.2506
279,364023700000.0,398128739573.2799
280,391652640000.0,403320653406.1849
281,391410800000.0,399811858071.15857
282,393170500000.0,414018314797.67584
283,396156400000.0,413051026933.6296
284,399292430000.0,396254454386.247
285,402381200000.0,418230227872.5095
286,400579430000.0,401397040224.8055
287,397726120000.0,417230578445.2453
288,403980000000.0,405672801643.5029
289,400061430000.0,416286509464.8821
290,404925740000.0,414854505347.32825
291,402797600000.0,408360129958.6451
292,406185600000.0,415324623782.7781
293,404882750000.0,405868630307.8455
294,403018840000.0,408629065239.0231
295,403444860000.0,405921187228.42615
296,399987470000.0,407858505933.5019
297,400522150000.0,420311153977.2074
298,401726640000.0,435122719441.1463
299,408844960000.0,424324162452.9646
300,416520180000.0,433652315653.6788
301,421327500000.0,429755508961.408
302,419359460000.0,425333786542.8654
303,421290050000.0,435437405002.7899
304,420028060000.0,431049389599.8948
305,420924650000.0,425085042141.3528
306,422997620000.0,413443994211.816
307,417304280000.0,439233069799.3668
308,415317460000.0,424423613711.8012
309,415782570000.0,413407688034.6008
310,420632230000.0,414829066840.176
311,411095400000.0,404488436044.0944
312,405286000000.0,430952004981.8557
313,407054420000.0,409113657188.30347
314,407540330000.0,420460628569.6289
315,413787880000.0,421180892415.9201
316,408077240000.0,427478398753.2426
317,414070700000.0,428388499405.8812
318,416152750000.0,422179033006.4241
319,417103000000.0,438496057329.51984
320,418209000000.0,444500452320.5709
321,421951140000.0,426339058122.6508
322,428256260000.0,446441278231.4953
323,428341070000.0,432697509105.3317
324,424181830000.0,427964054452.1617
325,428063260000.0,440792643941.04645
326,422720300000.0,429575066868.6405
327,422528420000.0,441313302699.4473
328,426431350000.0,436599806542.3135
329,424660630000.0,443452485106.9
330,429726100000.0,447366007298.0377
331,430413200000.0,451575058211.3264
332,434877330000.0,455368378431.7475
333,438471330000.0,458406188654.5603
