,0
117,279287983763.8045
118,278421575005.55853
119,265842309596.07175
120,282924564297.1773
121,262800220853.64764
122,299558932226.9514
123,257945666280.14474
124,285387615262.86957
125,236230096135.39835
126,292323288478.3886
127,286618794893.13696
128,271938354284.05933
129,292414267871.4566
130,282203435630.8779
131,273698307874.54907
132,279291137224.69556
133,243136078122.2866
134,297803844101.7202
135,277658867481.10614
136,253445855203.83914
137,241287503968.8213
138,280782602209.04865
139,287944245188.19336
140,256775079905.43982
141,250698279270.97208
142,293800379439.91003
143,271060183796.1239
144,236254765063.23184
145,287000558789.8953
146,287609681469.6561
147,264712956253.07642
148,284896926858.65814
149,270730517709.6268
150,280914966071.4412
151,279866991533.5149
152,250738953005.19812
153,265179517788.33948
154,241484591408.65472
155,283152832239.9268
156,279784663765.19836
157,257401616909.1293
158,253090957601.28323
159,288352381968.1458
160,248846653957.94733
161,290861346153.80225
162,260291523554.16022
163,241521696776.52362
164,288252802490.5282
165,244257430223.37183
166,263945672349.4873
167,299396160660.618
168,302262276948.93207
169,283497989630.99713
170,283210663722.4383
171,284286546932.8922
172,259517265751.06326
173,264582895512.42203
174,303889964692.09265
175,290270265646.5734
176,265128735274.3532
177,269872846923.58096
178,245199388854.03586
179,279265061952.17474
180,258192095620.9436
181,267766792243.33777
182,247851738989.64618
183,252099454780.84442
184,297166357504.9869
185,251668969062.93027
186,247749752253.8771
187,282895683224.84247
188,280639536469.13074
189,293328933446.7972
190,255936413957.4846
191,303743901418.8058
192,276708620825.2626
193,243344777023.6217
194,273550603053.97482
195,266570087045.45715
196,289062852037.07025
197,258438667336.45038
198,278547299646.5711
199,251978471545.01758
200,240537166032.32434
201,235104329304.07736
202,266087714254.64844
203,262634432297.71454
204,258269141203.6707
205,236312286975.92905
206,303319500098.5312
207,301220597311.90204
208,259175681544.99823
209,300249834361.5714
210,264640578029.0699
211,299945140584.4284
212,282946013311.1184
213,249054758804.32687
214,239042349132.89017
215,289087676318.4633
216,278850817599.713
217,241998559103.39273
218,243963190685.21994
219,264671808985.22467
220,257767616098.2256
221,251144187828.12866
222,276177221170.98364
223,251260934038.89648
224,261801740441.024
225,290960885654.6145
226,276117490582.41125
227,234580077518.11188
228,266969004584.00616
229,286148354178.1609
230,291270929598.656
231,263714344125.85852
232,296709349602.0907
233,238180109187.4726
234,236602306732.77325
235,288749429198.00995
236,285066518474.8591
237,279997252837.4555
238,297107974239.4023
239,270399377154.20596
240,250917620267.7655
241,297440648983.7408
242,234677716472.80542
243,254620325456.96512
244,267847848908.68167
245,278606881746.2518
246,257090773768.59708
247,269595538112.23947
248,237898164720.89835
249,292716510697.572
250,267320526406.36313
251,237015964970.23996
252,298715733541.0696
253,280304659843.0797
254,241259771898.39343
255,271595109018.36017
256,301856880565.02606
257,258574325144.7008
258,293072742712.32715
259,276818817600.1113
260,276991078203.4804
261,296267324974.88684
262,302141093676.569
263,271006371648.9204
264,243471930406.73694
265,253874520885.4901
266,238480652030.16934
267,256708108278.81705
268,268034455868.14526
269,233924738494.50125
270,303121857799.43384
271,253184374683.91742
272,295368375891.2837
273,293140322046.899
274,298699443307.1106
275,277927421775.85547
276,259743127331.53845
277,268866463431.24127
278,237939002053.19125
279,257600341376.12457
280,239921557342.239
281,235175251672.90723
282,289564890374.7091
283,250238797503.35092
284,265100138434.9843
285,251641436762.90417
286,285014606226.3053
287,257564378752.8523
288,302576124400.4733
289,287558197171.49164
290,270582791147.1119
291,267405110366.29135
292,275651293306.0241
293,303780896560.1401
294,296152291590.1277
295,274603904179.79245
296,284850780036.18634
297,258360901175.50555
298,242473519800.97397
299,250697248345.61133
300,290038177245.4663
301,290155861409.06116
302,260805000787.61865
303,294804650257.79913
304,300066815278.8656
305,286820424565.20044
306,239446813650.10077
307,277920800993.4717
308,251780073649.8859
309,242156425364.49875
310,281745266302.384
311,290452658979.1103
312,293226540600.7071
313,278887784240.07587
314,241641651181.10022
315,248873935925.5963
316,242336152569.79626
317,264424714716.61377
318,275903559293.207
319,234429433210.26108
320,283340815791.9179
321,294994092802.7141
322,234415590595.54233
323,254468221220.44717
324,280860800331.4985
325,278916307077.4962
326,238554828259.7541
327,293204088363.9186
328,294292092275.89105
329,248029432733.6755
330,234989193777.0999
331,295038086339.5844
332,246626965412.53445
333,273927178641.31818
334,242036108925.26465
335,274438684648.37354
336,292232079034.3576
337,294857188484.54584
338,288230432793.41064
339,286791383284.0873
340,260793488798.17197
341,263408628991.23395
342,291150745077.068
343,264600833602.61307
344,295838111605.5579
345,292010665577.28864
346,270696054363.78784
347,293476459787.1515
348,268098157792.62546
349,238018532661.84094
350,285207606692.12006
351,260785442409.1734
352,246757179486.2832
353,237311268691.42365
354,271788866281.7199
355,298777263315.6557
356,300092314573.51154
357,296542847335.1736
358,245339100072.48743
359,248785271770.61374
360,279820452923.37756
361,293388009653.20386
362,249382555998.58167
363,244614422177.71124
364,291311701900.6431
365,295360190690.1195
366,245803629582.817
367,276496409700.46954
368,300402412093.1424
369,236169787139.27444
370,266798190068.9337
371,273864514124.26236
372,259810598976.5973
373,295924822905.4962
374,301107874678.5014
375,275588602218.5878
376,269945916514.2621
377,264920852473.87015
378,298468155863.85187
379,271461534365.38174
380,280902147359.49274
381,251485216077.63605
382,267231482835.9737
383,244519762520.7576
384,242301570932.24203
385,254126208698.7053
386,247676987889.36444
387,280015133763.82294
388,246279151798.28772
389,239511947603.1411
390,246011004438.59003
391,259225880828.08267
392,236342845714.00668
393,268408665835.98587
394,239874312890.01157
395,254375627314.85593
396,265008014244.51312
397,283043732934.9113
398,251008525631.60117
399,236597227886.61526
400,239774185081.3944
401,255962873958.09293
402,276138355057.41254
403,235219042041.21393
404,284027053785.77124
405,293909593929.5342
406,290625888054.67267
407,239059070414.15036
408,243039187743.3988
