,Worker,Accuracy
140,839,0.7975292364814608
141,5682,0.5538629239058019
142,1010,0.1543626342825549
143,1628,0.8657634542803262
144,2106,0.5975256810070142
145,5397,0.16267128994882218
146,4379,0.3305224636181229
147,3721,0.4487611149337746
148,4362,0.7865811675849408
149,5394,0.5157471087608813
150,151,0.35478032941355303
151,5046,0.17812134511135658
152,3285,0.9149928365057827
153,5684,0.6418758371238176
154,1447,0.10535622267369035
155,5530,0.41003556802932867
156,5312,0.6576252795572055
157,4352,0.3342838670490688
158,3438,0.7639012437980255
159,1837,0.29641426629750167
160,1113,0.7024821606997964
161,425,0.8928326700011358
162,5826,0.0932614051899181
163,5474,0.6662058727783531
164,5676,0.7636487357905846
165,220,0.6565303330026782
166,644,0.5660047616084356
167,1121,0.8567295355985826
168,4914,0.5313162726064613
169,855,0.6997140388565082
170,1952,0.9362852266878483
171,5335,0.5667068515206298
172,4916,0.00959751618794533
173,302,0.7965003903047994
174,1231,0.921459297777892
175,1909,0.33012387774187046
176,451,0.8723196955587942
177,4917,0.8557398945975578
178,5074,0.8738080805226196
179,1613,0.7309912712547976
180,5880,0.16166006680368167
181,2947,0.8927788261625955
182,4016,0.6503785227355483
183,1951,0.0339849294352763
184,3261,0.5946395766942048
185,4298,0.6225459870732939
186,5269,0.3438210473888315
187,4607,0.5704381262649614
188,5077,0.6935913076984003
189,2895,0.9703010025042409
190,4312,0.7501015628164331
191,3683,0.08683266722190727
192,386,0.20689353522428475
193,3908,0.212502923223663
194,743,0.2384143554502444
195,3993,0.5914347615253652
196,1912,0.18445803608785222
197,225,0.8286703632347894
198,1179,0.7821075179513548
199,1980,0.736648345563861
200,3690,0.5247515614430472
201,149,0.04674318083319877
202,3080,0.8189441911814139
203,4389,0.9295616952546876
204,1767,0.4164045357969563
205,5805,0.6312847573984341
206,1842,0.7717656390147101
207,2944,0.3669797041566
208,3267,0.4904775492737844
209,1015,0.8116149495442121
210,2092,0.7935951105132154
211,3685,0.9978536766766518
212,1632,0.6022340973015643
