Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2018,4,11,2018/11/29,43433,305110000,25338.83984,4.981953973,-5.950339703,1368.395,-505.3,57.7,1.88E+13,0,0,2.97E+11
2018,4,11,2018/11/30,43434,482250000,25538.46094,7.918030507,-7.841485465,1368.395,-505.3,57.7,1.88E+13,0,0,3.08E+11
2018,4,12,2018/12/3,43437,388480000,25826.42969,6.71746818,-5.494743215,1368.395,-599,59.3,1.88E+13,0,0,3.01E+11
2018,4,12,2018/12/4,43438,418900000,25027.07031,4.1837965,-5.515126314,1368.395,-599,59.3,1.88E+13,0,0,2.93E+11
2018,4,12,2018/12/6,43440,471690000,24947.66992,3.173714551,-5.227080236,1368.395,-599,59.3,1.88E+13,0,0,3.02E+11
2018,4,12,2018/12/7,43441,398230000,24388.94922,1.002581625,-5.043925259,1368.395,-599,59.3,1.88E+13,0,0,2.89E+11
2018,4,12,2018/12/10,43444,389690000,24423.25977,2.017972813,-5.080955951,1368.395,-599,59.3,1.88E+13,0,0,2.98E+11
2018,4,12,2018/12/11,43445,342960000,24370.24023,2.960142984,-5.638886565,1368.395,-599,59.3,1.88E+13,0,0,2.93E+11
2018,4,12,2018/12/12,43446,344330000,24527.26953,2.362927694,-5.563774779,1368.395,-599,59.3,1.88E+13,0,0,2.99E+11
2018,4,12,2018/12/13,43447,299970000,24597.38086,4.258711131,-6.173011842,1368.395,-599,59.3,1.88E+13,0,0,2.93E+11
2018,4,12,2018/12/14,43448,416940000,24100.50977,1.674804051,-4.381887687,1368.395,-599,59.3,1.88E+13,0,0,2.93E+11
2018,4,12,2018/12/17,43451,466740000,23592.98047,-1.823102424,-3.982704441,1368.395,-599,59.3,1.88E+13,0,0,2.78E+11
2018,4,12,2018/12/18,43452,408070000,23675.64063,-2.214610421,-3.468711839,1368.395,-599,59.3,1.88E+13,0,0,2.82E+11
2018,4,12,2018/12/19,43453,503550000,23323.66016,-3.810159825,-2.681466638,1368.395,-599,59.3,1.88E+13,0,0,2.71E+11
2018,4,12,2018/12/20,43454,576700000,22859.59961,-6.44918269,-3.33194755,1368.395,-599,59.3,1.88E+13,0,0,2.70E+11
2018,4,12,2018/12/21,43455,900510000,22445.36914,-6.894524045,-3.016432045,1368.395,-599,59.3,1.88E+13,0,0,2.69E+11
2018,4,12,2018/12/24,43458,308420000,21792.19922,-11.46342365,-1.457484381,1368.395,-599,59.3,1.88E+13,0,0,2.55E+11
2018,4,12,2018/12/26,43460,433080000,22878.44922,-5.689998278,-1.747283812,1368.395,-599,59.3,1.88E+13,0,0,2.68E+11
2018,4,12,2018/12/27,43461,407940000,23138.82031,-3.260578362,-2.090313206,1368.395,-599,59.3,1.88E+13,0,0,2.76E+11
2018,4,12,2018/12/28,43462,336510000,23062.40039,-2.996816433,-2.347091875,1368.395,-599,59.3,1.88E+13,0,0,2.68E+11
2018,4,12,2018/12/31,43465,288830000,23327.46094,-1.814473862,-2.213268042,1368.395,-599,59.3,1.88E+13,0,0,2.74E+11
2019,1,1,2019/1/2,43467,321570000,23346.24023,-1.996593405,4.063351064,1388.75,-511.3,54.3,1.89E+13,0,0,2.93E+11
2019,1,1,2019/1/3,43468,424240000,22686.2207,-3.156867513,4.479748885,1388.75,-511.3,54.3,1.89E+13,0,0,2.82E+11
2019,1,1,2019/1/4,43469,396020000,23433.16016,-0.658364346,3.418628809,1388.75,-511.3,54.3,1.89E+13,0,0,2.94E+11
2019,1,1,2019/1/7,43472,334200000,23531.34961,-0.592933788,4.213151637,1388.75,-511.3,54.3,1.89E+13,0,0,2.90E+11
2019,1,1,2019/1/8,43473,317420000,23787.44922,0.559787589,3.742812017,1388.75,-511.3,54.3,1.89E+13,0,0,2.87E+11
2019,1,1,2019/1/9,43474,324570000,23879.11914,-1.935195612,5.253486695,1388.75,-511.3,54.3,1.89E+13,0,0,2.96E+11
2019,1,1,2019/1/10,43475,338150000,24001.91992,-1.424458349,4.845338956,1388.75,-511.3,54.3,1.89E+13,0,0,2.98E+11
2019,1,1,2019/1/11,43476,262650000,23995.94922,-1.133983198,4.766839972,1388.75,-511.3,54.3,1.89E+13,0,0,2.92E+11
